McGill Course,McGill Title,External Course,External Title,External Institution,Country,Status,Message
ECSE427,Operating Systems,COMP3230,Principles of Operating Systems,The University of Hong Kong (HKU),"Hong Kong, SAR",Expired,
ECSE427,Operating Systems.,COMP2432,Operating Systems,The Hong Kong Polytechnic University,"Hong Kong, SAR",Equivalent,
ECSE427,Operating Systems.,COMP30023,Computer Systems,University of Melbourne,Australia,Expired,"For McGill CE and SE students: Core engineering program courses cannot be taken outside of McGill.

For ENG Students: Shortfall of 9.5 AUs must be made up by extra approved TC or from surplus AUs from another approved course."
ECSE427,Operating Systems.,CS2106,INTRODUCTION TO OPERATING SYSTEMS,National University of Singapore,Singapore,Equivalent,For ENG Students: Shortfall of 9.5 AUs must be made up by extra approved TC or from surplus AUs from another approved course.
ECSE427,Operating Systems.,CS3103,Operating Systems,City University of Hong Kong,"Hong Kong, SAR",Equivalent,For ENG Students: Shortfall of 2.5 AUs must be made up by extra approved TC or from surplus AUs from another approved course.
ECSE427,Operating Systems.,CS350,Operating Systems,University of Waterloo,Canada,Expired,For ENG students: Shortfall of 11.5 AUs must be made up by extra approved TC or from surplus AUs from another approved course.
ECSE427,Operating Systems.,CSC227,Operating Systems,King Saud University,Saudi Arabia,Expired,
ECSE427,Operating Systems.,CSCI3150,Introduction to Operating Systems,The Chinese University of Hong Kong,"Hong Kong, SAR",Equivalent,
ECSE427,Operating Systems.,EIE3343,Computer Systems Principles,The Hong Kong Polytechnic University,"Hong Kong, SAR",Expired,"For ENG Students: Shortfall of 14.0 AUs must be made up by extra approved TC or from surplus AUs from another approved course.

For McGill EE, CE and SE students: Core engineering program courses cannot be taken outside of McGill."
ECSE427,Operating Systems.,VE482,Operating System,Shanghai Jiao Tong University,China,Expired,For ENG Students: Shortfall of 0.5 AUs must be made up by extra approved TC or from surplus AUs from another approved course.
ECSE428,Software Engineering Practice,COMPSCI3006,Software Engineering and Project,The University of Adelaide,Australia,Expired,For students in ECE: Core course for SE program. Valid as a TC for CE program. Not open to EE and Honours programs. AUs Host/McGill: 41.5/45.5. An additional course is required to make up for the shortfall of AUs
ECSE428,Software Engineering Practice.,LIS4072,Design and Management of Systems,University of the Americas Puebla (UDLAP),Mexico,Equivalent,
ECSE428,Software Engineering Practice.,SOEN6011,Software Engineering Processes,Concordia University,Canada,Expired,
COMP360,Algorithm Design,COMPSCI3301,Advanced Algorithms,The University of Adelaide,Australia,Expired,
COMP360,Algorithm Design,CSC373H1,Algorithm Design and Analysis,University of Toronto,Canada,Expired,
COMP360,Algorithm Design.,1532,Análisis de Algoritmos,National Autonomous University of Mexico,Mexico,Expired,
COMP360,Algorithm Design.,4190407,Algorithms,Seoul National University,South Korea,Expired,
COMP360,Algorithm Design.,900161,"Logic, Information Flow and Argumentation",Amsterdam University College,Netherlands,Expired,Try the Philosophy Department
COMP360,Algorithm Design.,CMPT405,Design and Analysis of Computer Algorithms,Simon Fraser University,Canada,Expired,
COMP360,Algorithm Design.,CMSC451,Design and Analysis of Computer Algorithms,University of Maryland College Park,USA,Expired,
COMP360,Algorithm Design.,COMP2007,Algorithms and Complexity,University of Sydney,Australia,Expired,
COMP360,Algorithm Design.,COMP3250A,Design and Analysis of Algorithms,The University of Hong Kong (HKU),"Hong Kong, SAR",Expired,
COMP360,Algorithm Design.,COMP3251,Algorithm Design,The University of Hong Kong (HKU),"Hong Kong, SAR",Expired,Course must be taken in person in order to receive credit.
COMP360,Algorithm Design.,COMP372,Design and Analysis of Algorithms,Athabasca University,Canada,Expired,this is an online course and is not approved for credit.
COMP360,Algorithm Design.,COMP400,Algorithm Design,Central China Normal University (CCNU),China,Expired,This course must be taken in-person.  Online version of this course is not approved for credit.
COMP360,Algorithm Design.,COMP465,Design and Analysis of Algorithms,Concordia University,Canada,Expired,
COMP360,Algorithm Design.,COMP90038,Algorithms and complexity,University of Melbourne,Australia,Equivalent,
COMP360,Algorithm Design.,COMPSCI4009,Algorithmics I (H),The University of Glasgow,"Scotland, UK",Equivalent,
COMP360,Algorithm Design.,CPP31,Data Structures and Algorithms 2,East China Normal University,China,Expired,Course must be taken in person in order to receive credits.
COMP360,Algorithm Design.,CPSC320,CPSC 320 Intermediate Algorithm Design and Analysis,University of British Columbia (UBC) - All Campuses,Canada,Expired,
COMP360,Algorithm Design.,CS306,Algorithm Design,Nanchang University,China,Expired,
COMP360,Algorithm Design.,CS306,Algorithm Design and Analysis,Nankai University,China,Expired,This course is approved for Summer 2020 only.  This course is approved for online/remote instruction only.  In-person (on campus) instruction is not approved for credit.
COMP360,Algorithm Design.,CS3230,Design and Analysis of Algorithms,National University of Singapore,Singapore,Equivalent,
COMP360,Algorithm Design.,CS420,Algorithm Design,Beijing Normal University,China,Expired,
COMP360,Algorithm Design.,CSC373,Algorithm Design & Analysis,University of Toronto,Canada,Expired,
COMP360,Algorithm Design.,CSE101,Design & Analysis of Algorithm,University of California - San Diego,USA,Expired,Course must be taken in person.
COMP360,Algorithm Design.,CSOR4231,Analysis of Algorithms I,Columbia University,USA,Expired,This course is approved for Summer 2020 only.  This course is approved for online/remote instruction only.  In-person (on campus) instruction is not approved for credit.
COMP360,Algorithm Design.,IN2004,Efficient Algorithms and Data Structures II,Munich University of Technology,Germany,Expired,
COMP360,Algorithm Design.,INF4705,Analyse et conception d'algorithmes,Polytechnique Montréal,Canada,Expired,
COMP360,Algorithm Design.,INFR11102,Computational complexity,The University of Edinburgh,"Scotland, UK",Expired,
COMP360,Algorithm Design.,SC4040,Advanced Topics in Algoithms,Nanyang Technological University,Singapore,Equivalent,
COMP360,Algorithm Design.,WBCS00905,Advanced Algorithms and Data Structures,University of Groningen,Netherlands,Expired,
ECSE326,Software Requirements Engineering.,03SM22BMI003,Requirements Engineering I,University of Zurich,Switzerland,Equivalent,For ENG Students: Shortfall of 27.5 AUs must be made up by extra approved TC or from surplus AUs from another approved course. For McGill SE students: This core engineering program course cannot be taken outside of McGill.
ECSE326,Software Requirements Engineering.,CS3347,Software Engineering Principles and Practice,City University of Hong Kong,"Hong Kong, SAR",Expired,
